15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
15:55:38 : DEBUG | Player b237bc749c requesting to move to direction 4
